Game,Black_Energy,White_Energy,Predicted_Winner,Actual_Winner
31mn-gokifu-20200319-Gu_Lingyi-Tao_Xinran.sgf,47.05882352941176,52.94117647058824,W,W
31pr-gokifu-20200323-Li_Xiaoxi-Lu_Jia.sgf,48.86363636363637,51.13636363636363,W,B
31ps-gokifu-20200323-Tang_Yi-Wang_Shuang.sgf,52.41935483870967,47.58064516129033,B,B
31pt-gokifu-20200324-Wang_Chenxing-Tang_Yi.sgf,51.183431952662716,48.81656804733728,B,W
31pu-gokifu-20200324-Lu_Jia-Cao_Youyin.sgf,50.90439276485789,49.09560723514212,B,W
31pv-gokifu-20200324-Chen_Yiming-Li_Xiaoxi.sgf,48.87640449438202,51.12359550561798,W,W
31pw-gokifu-20200324-Zhan_Ying-Tao_Ran.sgf,48.95833333333333,51.041666666666664,W,W
31px-gokifu-20200324-Li_He-Zhang_Zihan.sgf,48.50136239782017,51.49863760217984,W,B
31qz-gokifu-20200325-Wang_Xiangyun-Tang_Yi.sgf,50.2283105022831,49.77168949771689,B,B
31r0-gokifu-20200325-Li_He-Chen_Yiming.sgf,51.30023640661938,48.69976359338061,B,W
31r1-gokifu-20200325-Li_Xiaoxi-Wang_Yubo.sgf,51.276595744680854,48.723404255319146,B,W
31r2-gokifu-20200325-Lu_Jia-Gao_Xing.sgf,48.952879581151834,51.047120418848166,W,B
31r3-gokifu-20200325-Cao_Youyin-Tao_Ran.sgf,49.23076923076923,50.76923076923077,W,B
31r4-gokifu-20200325-Wang_Shuang-Zhan_Ying.sgf,48.74141876430206,51.25858123569794,W,B
3234-gokifu-20200401-Yu_Zhiying-Cai_Bihan.sgf,51.056338028169016,48.943661971830984,B,B
3235-gokifu-20200328-Zhang_Zihan-Cai_Bihan.sgf,50.46153846153846,49.53846153846154,B,W
3236-gokifu-20200328-Wang_Chenxing-Li_He.sgf,52.42718446601942,47.57281553398058,B,B
3237-gokifu-20200328-Chen_Yiming-Lu_Jia.sgf,51.82648401826484,48.17351598173516,B,W
3238-gokifu-20200329-Cao_Youyin-Tang_Yi.sgf,46.273291925465834,53.72670807453416,W,W
3239-gokifu-20200327-Wang_Chenxing-Li_Xiaoxi.sgf,51.46771037181996,48.53228962818004,B,W
323a-gokifu-20200327-Cai_Bihan-Gao_Xing.sgf,51.89309576837417,48.10690423162583,B,B
323b-gokifu-20200329-Yu_Zhiying-Gao_Xing.sgf,47.42857142857143,52.57142857142857,W,B
323c-gokifu-20200327-Zhan_Ying-Yu_Zhiying.sgf,48.85993485342019,51.14006514657981,W,W
323d-gokifu-20200331-Zhang_Zihan-Yu_Zhiying.sgf,46.885245901639344,53.11475409836065,W,W
323e-gokifu-20200328-Zhan_Ying-Rui_Naiwei.sgf,50.0,50.0,W,W
323f-gokifu-20200327-Wang_Xiangyun-Zhang_Zihan.sgf,51.21293800539084,48.78706199460917,B,W
323k-gokifu-20200401-Li_He-Li_Xiaoxi.sgf,49.519230769230774,50.480769230769226,W,B
323l-gokifu-20200402-Li_Xiaoxi-Gao_Xing.sgf,48.25,51.74999999999999,W,B
323m-gokifu-20200402-Wang_Shuang-Yu_Zhiying.sgf,49.88662131519274,50.11337868480725,W,W
323n-gokifu-20200402-Zheng_Yan-Rui_Naiwei.sgf,51.771117166212534,48.228882833787466,B,W
323p-gokifu-20200401-Wang_Chenxing-Tao_Ran.sgf,49.31192660550459,50.68807339449541,W,B
32hs-gokifu-20200408-Li_Qincheng-Xu_Jiayang.sgf,47.235023041474655,52.764976958525345,W,W
32ht-gokifu-20200408-Yu_Zhiying-Zhou_Ruiyang.sgf,52.159468438538205,47.840531561461795,B,W
32hu-gokifu-20200408-Shin_Jinseo-Kim_Jiseok.sgf,42.29249011857708,57.70750988142292,W,B
33yp-gokifu-20200411-Xie_Erhao-Li_Xuanhao.sgf,46.99738903394256,53.00261096605744,W,W
33yq-gokifu-20200416-Tuo_Jiaxi-Ding_Hao.sgf,45.59748427672956,54.40251572327044,W,W
33yr-gokifu-20200410-Tong_Mengcheng-Dang_Yifei.sgf,53.352769679300295,46.647230320699705,B,W
33ys-gokifu-20200414-Lian_Xiao-Xu_Jiayang.sgf,49.430523917995444,50.56947608200456,W,B
33yt-gokifu-20200415-Shi_Yue-Peng_Liyao.sgf,49.53846153846154,50.46153846153846,W,W
33yu-gokifu-20200411-Tao_Xinran-Gu_Zihao.sgf,49.16467780429594,50.83532219570406,W,W
33yv-gokifu-20200416-Li_Qincheng-Jiang_Weijie.sgf,51.50602409638554,48.493975903614455,B,W
33z5-gokifu-20200417-Dang_Yifei-Li_Xuanhao.sgf,53.36787564766839,46.63212435233161,B,W
33z6-gokifu-20200417-Tan_Xiao-Gu_Zihao.sgf,48.0,52.0,W,W
349i-gokifu-20200420-Xie_Ke-Lian_Xiao.sgf,50.625,49.375,B,W
349j-gokifu-20200420-Liao_Yuanhe-Fan_Yunruo.sgf,51.31964809384164,48.68035190615836,B,W
349k-gokifu-20200421-Zhao_Chenyu-Peng_Liyao.sgf,49.50738916256158,50.49261083743842,W,B
349l-gokifu-20200421-Ding_Hao-Jiang_Weijie.sgf,49.85994397759104,50.14005602240896,W,B
34xp-gokifu-20200427-Ichiriki_Ryo-Xie_Ke.sgf,46.65071770334928,53.34928229665071,W,W
36d3-gokifu-20200520-Gu_Zihao-Chen_Yaoye.sgf,51.13924050632911,48.860759493670884,B,W
36d5-gokifu-20200521-Lian_Xiao-Zhao_Chenyu.sgf,45.58139534883721,54.418604651162795,W,B
36vs-gokifu-20200526-Jiang_Weijie-Tuo_Jiaxi.sgf,53.09278350515464,46.90721649484536,B,B
36ym-gokifu-20200528-Gu_Zihao-Fan_Yin.sgf,47.85714285714286,52.142857142857146,W,B
36yn-gokifu-20200529-Zhao_Chenyu-Lian_Xiao.sgf,51.80412371134021,48.1958762886598,B,W
36za-gokifu-20200601-Murakawa_Daisuke-Byun_Sangil.sgf,49.13294797687861,50.86705202312138,W,W
36zb-gokifu-20200601-Ichiriki_Ryo-Park_Jungwhan.sgf,47.9020979020979,52.09790209790209,W,W
36zc-gokifu-20200601-Lee_Donghoon-Sun_Zhe.sgf,49.763033175355446,50.23696682464455,W,B
36zd-gokifu-20200601-Shin_Minjun-Wang_Yuanjun.sgf,46.34146341463415,53.65853658536586,W,B
36ze-gokifu-20200601-Hsu_Chiayuan-Kang_Dongyun.sgf,52.18579234972678,47.81420765027322,B,W
373w-gokifu-20200602-Lian_Xiao-Lee_Yeongkyu.sgf,49.458483754512635,50.54151624548736,W,B
373x-gokifu-20200603-Zhao_Chenyu-Choi_Jeong.sgf,46.2962962962963,53.70370370370371,W,B
373y-gokifu-20200603-Park_Seunghwa-Ding_Hao.sgf,48.674698795180724,51.325301204819276,W,W
373z-gokifu-20200603-Fan_Yunruo-Shin_Jinseo.sgf,53.46534653465347,46.53465346534654,B,W
3740-gokifu-20200602-Tang_Weixing-Kim_Jiseok.sgf,47.44525547445255,52.55474452554745,W,B
3741-gokifu-20200602-Hong_Kipyo-Li_Xuanhao.sgf,50.37220843672456,49.62779156327544,B,B
375b-gokifu-20200325-Lu_Jia-Gao_Xing.sgf,48.952879581151834,51.047120418848166,W,
375f-gokifu-20200417-Tan_Xiao-Gu_Zihao.sgf,48.0,52.0,W,
37ev-gokifu-20200603-Park_Seunghwa-Ding_Hao.sgf,48.674698795180724,51.325301204819276,W,
37fj-gokifu-20200408-Shin_Jinseo-Kim_Jiseok.sgf,42.29249011857708,57.70750988142292,W,
37pp-gokifu-20200610-Gu_Zihao-Mi_Yuting.sgf,51.94029850746269,48.059701492537314,B,W
37pq-gokifu-20200615-Li_Xuanhao-Mi_Yuting.sgf,45.751633986928105,54.248366013071895,W,W
37pr-gokifu-20200614-Li_Xuanhao-Chen_Yaoye.sgf,49.152542372881356,50.847457627118644,W,B
37ps-gokifu-20200614-Ma_Yichao-Tuo_Jiaxi.sgf,51.49425287356322,48.50574712643678,B,W
37pt-gokifu-20200614-Shi_Yue-Tuo_Jiaxi.sgf,51.533742331288344,48.466257668711656,B,W
37pu-gokifu-20200614-Kou_Zhengyan-Dang_Yifei.sgf,52.98804780876494,47.01195219123506,B,W
37pv-gokifu-20200610-Lian_Xiao-Fan_Tingyu.sgf,52.6984126984127,47.3015873015873,B,B
37pw-gokifu-20200614-Jiao_Shiwei-Tang_Weixing.sgf,48.44444444444444,51.55555555555556,W,W
37px-gokifu-20200614-Mi_Yuting-Tang_Weixing.sgf,55.846774193548384,44.153225806451616,B,B
37py-gokifu-20200608-Shin_Jinseo-Ke_Jie.sgf,49.310344827586206,50.689655172413794,W,W
37u7-gokifu-20200729-Kang_Dongyun-Motoki_Katsuya.sgf,47.64890282131661,52.35109717868338,W,B
37u8-gokifu-20200729-Mi_Yuting-Byun_Sangil.sgf,52.41935483870967,47.58064516129033,B,W
37u9-gokifu-20200728-Zhan_Ying-Chen_Yiming.sgf,52.556237218813905,47.443762781186095,B,B
37ua-gokifu-20200729-Iyama_Yuuta-Shin_Minjun.sgf,52.043596730245234,47.956403269754766,B,W
37ub-gokifu-20200728-Li_He-Tang_Yi.sgf,50.82872928176796,49.171270718232044,B,W
37uc-gokifu-20200729-Kim_Jiseok-Xu_Jiayang.sgf,50.0,50.0,W,W
37ud-gokifu-20200729-Shibano_Toramaru-Lian_Xiao.sgf,53.0,47.0,B,W
37ue-gokifu-20200728-Li_Xiaoxi-Cai_Bihan.sgf,46.41509433962264,53.58490566037736,W,W
37uf-gokifu-20200728-Wang_Chenxing-Zhang_Zihan.sgf,50.92592592592593,49.074074074074076,B,B
37ui-gokifu-20200729-Cao_Youyin-Cai_Bihan.sgf,48.507462686567166,51.49253731343284,W,B
37uj-gokifu-20200729-Tao_Ran-Li_He.sgf,50.0,50.0,W,W
37uk-gokifu-20200729-Oh_Yujin-Yu_Zhiying.sgf,49.45652173913043,50.54347826086957,W,W
37ul-gokifu-20200729-Rui_Naiwei-Li_Xiaoxi.sgf,44.94949494949495,55.05050505050505,W,B
37um-gokifu-20200729-Wang_Chenxing-Li_Xiaoxi.sgf,48.401826484018265,51.598173515981735,W,B
37un-gokifu-20200729-Gao_Xing-Zhang_Zihan.sgf,50.34246575342466,49.65753424657534,B,B
37ux-gokifu-20200731-Yang_Dingxin-Byun_Sangil.sgf,52.42424242424243,47.57575757575758,B,W
37uy-gokifu-20200731-Fan_Tingyu-Murakawa_Daisuke.sgf,46.070460704607044,53.929539295392956,W,B
37uz-gokifu-20200731-Xu_Jiayang-Shin_Jinseo.sgf,53.956834532374096,46.043165467625904,B,W
37v0-gokifu-20200731-Shin_Minjun-Tang_Weixing.sgf,47.159090909090914,52.84090909090909,W,W
37v1-gokifu-20200731-Kang_Dongyun-Ke_Jie.sgf,53.941908713692946,46.058091286307054,B,W
37v2-gokifu-20200731-Park_Yeonghun-Yu_Zhengqi.sgf,50.80831408775982,49.19168591224018,B,B
